"filename", "language", "XML", "Swift", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 23, 4, 30
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 5, 12, 68
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\google-services.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\debug\AndroidManifest.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\main\AndroidManifest.xml", "XML", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 34
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\main\res\drawable\launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\main\res\values-night\styles.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\main\res\values\styles.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\app\src\profile\AndroidManifest.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\Edit_icon.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\box.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\box_icon.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\google.svg", "XML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\success_alert.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\tracking_order_box.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\tracking_order_box_close.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\tracking_order_checked.svg", "XML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\tracking_order_delivery.svg", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\tracking_order_delivery_done.svg", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\assets\image\tracking_order_map.svg", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
